"","gene_num_1","gene_num_2","gene_num_3","result"
"1",3,50,65,0.15
"2",50,65,67,0.15
"3",5,50,67,0.166666666666667
"4",6,50,67,0.166666666666667
"5",12,50,67,0.166666666666667
"6",24,50,67,0.166666666666667
"7",50,52,67,0.166666666666667
"8",50,61,67,0.166666666666667
"9",50,65,69,0.166666666666667
"10",3,13,50,0.183333333333333
"11",3,50,67,0.183333333333333
"12",4,50,67,0.183333333333333
"13",5,50,65,0.183333333333333
"14",8,50,67,0.183333333333333
"15",23,50,67,0.183333333333333
"16",24,50,58,0.183333333333333
"17",24,50,61,0.183333333333333
"18",50,51,67,0.183333333333333
"19",50,53,67,0.183333333333333
"20",50,65,66,0.183333333333333
